,wyId,label,numbGoals
198,2516841,"Werder Bremen - Hannover 96, 4 - 0",4
199,2516842,"Schalke 04 - Hamburger SV, 2 - 0",2
200,2516840,"Hertha BSC - Borussia M'gladbach, 2 - 4",6
201,2516838,"Bayern München - Augsburg, 3 - 0",3
202,2516839,"Hoffenheim - Eintracht Frankfurt, 1 - 1",2
203,2516843,"Bayer Leverkusen - RB Leipzig, 2 - 2",4
204,2516844,"Mainz 05 - Köln, 1 - 0",1
205,2516845,"Wolfsburg - Freiburg, 3 - 1",4
206,2516846,"Stuttgart - Borussia Dortmund, 2 - 1",3
207,2516837,"Wolfsburg - Hertha BSC, 3 - 3",6
208,2516831,"Köln - Hoffenheim, 0 - 3",3
209,2516829,"Borussia Dortmund - Bayern München, 1 - 3",4
210,2516830,"RB Leipzig - Hannover 96, 2 - 1",3
211,2516832,"Freiburg - Schalke 04, 0 - 1",1
212,2516833,"Borussia M'gladbach - Mainz 05, 1 - 1",2
213,2516835,"Augsburg - Bayer Leverkusen, 1 - 1",2
214,2516836,"Hamburger SV - Stuttgart, 3 - 1",4
215,2516834,"Eintracht Frankfurt - Werder Bremen, 2 - 1",3
216,2516828,"Stuttgart - Freiburg, 3 - 0",3
217,2516823,"Werder Bremen - Augsburg, 0 - 3",3
218,2516820,"Bayern München - RB Leipzig, 2 - 0",2
219,2516821,"Hoffenheim - Borussia M'gladbach, 1 - 3",4
220,2516822,"Hertha BSC - Hamburger SV, 2 - 1",3
221,2516824,"Schalke 04 - Wolfsburg, 1 - 1",2
222,2516825,"Bayer Leverkusen - Köln, 2 - 1",3
223,2516827,"Hannover 96 - Borussia Dortmund, 4 - 2",6
224,2516826,"Mainz 05 - Eintracht Frankfurt, 1 - 1",2
225,2516819,"Wolfsburg - Hoffenheim, 1 - 1",2
226,2516813,"Freiburg - Hertha BSC, 1 - 1",2
227,2516812,"Köln - Werder Bremen, 0 - 0",0
228,2516818,"Hamburger SV - Bayern München, 0 - 1",1
229,2516811,"RB Leipzig - Stuttgart, 1 - 0",1
230,2516814,"Borussia M'gladbach - Bayer Leverkusen, 1 - 5",6
231,2516816,"Eintracht Frankfurt - Borussia Dortmund, 2 - 2",4
232,2516817,"Augsburg - Hannover 96, 1 - 2",3
233,2516815,"Schalke 04 - Mainz 05, 2 - 0",2
234,2516806,"Werder Bremen - Borussia M'gladbach, 0 - 2",2
235,2516807,"Bayer Leverkusen - Wolfsburg, 2 - 2",4
236,2516803,"Borussia Dortmund - RB Leipzig, 2 - 3",5
237,2516802,"Bayern München - Freiburg, 5 - 0",5
238,2516804,"Hoffenheim - Augsburg, 2 - 2",4
239,2516805,"Hertha BSC - Schalke 04, 0 - 2",2
240,2516808,"Mainz 05 - Hamburger SV, 3 - 2",5
241,2516809,"Hannover 96 - Eintracht Frankfurt, 1 - 2",3
242,2516810,"Stuttgart - Köln, 2 - 1",3
243,2516793,"Köln - RB Leipzig, 1 - 2",3
244,2516794,"Hertha BSC - Bayern München, 2 - 2",4
245,2516795,"Freiburg - Hoffenheim, 3 - 2",5
246,2516800,"Hamburger SV - Werder Bremen, 0 - 0",0
247,2516796,"Borussia M'gladbach - Hannover 96, 2 - 1",3
248,2516798,"Eintracht Frankfurt - Stuttgart, 2 - 1",3
249,2516799,"Augsburg - Borussia Dortmund, 1 - 2",3
250,2516801,"Wolfsburg - Mainz 05, 1 - 1",2
251,2516797,"Schalke 04 - Bayer Leverkusen, 1 - 1",2
252,2516789,"Bayer Leverkusen - Hamburger SV, 3 - 0",3
253,2516791,"Hannover 96 - Köln, 0 - 0",0
254,2516785,"Borussia Dortmund - Borussia M'gladbach, 6 - 1",7
255,2516786,"RB Leipzig - Eintracht Frankfurt, 2 - 1",3
256,2516787,"Hoffenheim - Schalke 04, 2 - 0",2
257,2516788,"Werder Bremen - Freiburg, 0 - 0",0
258,2516790,"Mainz 05 - Hertha BSC, 1 - 0",1
259,2516792,"Stuttgart - Augsburg, 0 - 0",0
260,2516784,"Bayern München - Wolfsburg, 2 - 2",4
261,2516776,"Hertha BSC - Bayer Leverkusen, 2 - 1",3
262,2516777,"Freiburg - Hannover 96, 1 - 1",2
263,2516781,"Hamburger SV - Borussia Dortmund, 0 - 3",3
264,2516782,"Mainz 05 - Hoffenheim, 2 - 3",5
265,2516775,"Köln - Eintracht Frankfurt, 0 - 1",1
266,2516779,"Schalke 04 - Bayern München, 0 - 3",3
267,2516780,"Augsburg - RB Leipzig, 1 - 0",1
268,2516783,"Wolfsburg - Werder Bremen, 1 - 1",2
269,2516778,"Borussia M'gladbach - Stuttgart, 2 - 0",2
270,2516767,"Borussia Dortmund - Köln, 5 - 0",5
271,2516772,"Bayer Leverkusen - Freiburg, 4 - 0",4
272,2516769,"Hoffenheim - Hertha BSC, 1 - 1",2
273,2516768,"RB Leipzig - Borussia M'gladbach, 2 - 2",4
274,2516766,"Bayern München - Mainz 05, 4 - 0",4
275,2516770,"Werder Bremen - Schalke 04, 1 - 2",3
276,2516771,"Eintracht Frankfurt - Augsburg, 1 - 2",3
277,2516774,"Stuttgart - Wolfsburg, 1 - 0",1
278,2516773,"Hannover 96 - Hamburger SV, 2 - 0",2
279,2516761,"Schalke 04 - Stuttgart, 3 - 1",4
280,2516758,"Hertha BSC - Werder Bremen, 1 - 1",2
281,2516757,"Hoffenheim - Bayern München, 2 - 0",2
282,2516759,"Freiburg - Borussia Dortmund, 0 - 0",0
283,2516760,"Borussia M'gladbach - Eintracht Frankfurt, 0 - 1",1
284,2516762,"Augsburg - Köln, 3 - 0",3
285,2516764,"Mainz 05 - Bayer Leverkusen, 3 - 1",4
286,2516765,"Wolfsburg - Hannover 96, 1 - 1",2
287,2516763,"Hamburger SV - RB Leipzig, 0 - 2",2
288,2516755,"Hannover 96 - Schalke 04, 1 - 0",1
289,2516749,"RB Leipzig - Freiburg, 4 - 1",5
290,2516748,"Borussia Dortmund - Hertha BSC, 2 - 0",2
291,2516751,"Werder Bremen - Bayern München, 0 - 2",2
292,2516752,"Eintracht Frankfurt - Wolfsburg, 0 - 1",1
293,2516753,"Bayer Leverkusen - Hoffenheim, 2 - 2",4
294,2516754,"Augsburg - Borussia M'gladbach, 2 - 2",4
295,2516756,"Stuttgart - Mainz 05, 1 - 0",1
296,2516750,"Köln - Hamburger SV, 1 - 3",4
297,2516743,"Borussia M'gladbach - Köln, 1 - 0",1
298,2516742,"Freiburg - Eintracht Frankfurt, 0 - 0",0
299,2516744,"Schalke 04 - RB Leipzig, 2 - 0",2
300,2516740,"Hoffenheim - Werder Bremen, 1 - 0",1
301,2516741,"Hertha BSC - Stuttgart, 2 - 0",2
302,2516745,"Hamburger SV - Augsburg, 1 - 0",1
303,2516746,"Mainz 05 - Hannover 96, 0 - 1",1
304,2516747,"Wolfsburg - Borussia Dortmund, 0 - 3",3
305,2516739,"Bayern München - Bayer Leverkusen, 3 - 1",4
