,team_home,team_away,ordrespxG
295,Stuttgart,Mainz 05,2.0
296,Köln,Hamburger SV,2.0
297,Borussia M'gladbach,Köln,2.0
298,Freiburg,Eintracht Frankfurt,4.0
299,Schalke 04,RB Leipzig,2.0
300,Hoffenheim,Werder Bremen,2.0
301,Hertha BSC,Stuttgart,4.0
302,Hamburger SV,Augsburg,4.0
303,Mainz 05,Hannover 96,2.0
304,Wolfsburg,Borussia Dortmund,4.0
305,Bayern München,Bayer Leverkusen,4.0
