team_home,team_away,ordresp,xGhome,xGaway,goalDiffxG,ordextxG,ordextxG3
16,12,2.0,2.3,2.1,0.19999999999999973,3.0,2
12,14,4.0,1.2,2.7,-1.5000000000000002,5.0,3
10,3,3.0,1.4,1.3,0.09999999999999987,3.0,2
7,11,2.0,1.2,0.8,0.3999999999999999,3.0,2
8,17,3.0,1.0,0.5,0.5,2.0,1
5,9,2.0,2.5,1.7,0.8,2.0,1
6,16,2.0,1.2,1.0,0.19999999999999996,3.0,2
1,4,4.0,1.5,2.0,-0.5,4.0,3
18,13,3.0,0.9,1.1,-0.20000000000000007,3.0,2
15,2,3.0,0.8,1.0,-0.19999999999999996,3.0,2
2,8,1.0,2.4,0.6,1.7999999999999998,1.0,1
9,12,3.0,1.7,1.0,0.7,2.0,1
4,5,1.0,4.2,1.4,2.8000000000000003,1.0,1
14,6,2.0,1.6,0.8,0.8,2.0,1
11,15,1.0,1.5,1.3,0.19999999999999996,3.0,2
17,7,3.0,1.4,0.9,0.4999999999999999,3.0,2
13,10,2.0,1.1,0.6,0.5000000000000001,2.0,1
16,1,3.0,0.7,0.4,0.29999999999999993,3.0,2
3,18,3.0,2.4,0.8,1.5999999999999999,1.0,1
10,2,2.0,0.3,0.5,-0.2,3.0,2
7,9,3.0,2.9,1.1,1.7999999999999998,1.0,1
8,4,5.0,0.3,3.2,-2.9000000000000004,5.0,3
13,11,4.0,1.9,1.4,0.5,2.0,1
12,6,4.0,2.1,1.2,0.9000000000000001,2.0,1
15,3,5.0,1.2,2.3,-1.0999999999999999,4.0,3
1,14,2.0,1.2,1.1,0.09999999999999987,3.0,2
18,17,3.0,1.0,0.9,0.09999999999999998,3.0,2
5,16,1.0,1.1,0.6,0.5000000000000001,2.0,1
4,12,1.0,3.5,0.7,2.8,1.0,1
2,7,1.0,1.9,0.5,1.4,2.0,1
11,10,3.0,0.5,0.6,-0.09999999999999998,3.0,2
14,5,3.0,0.7,1.5,-0.8,4.0,3
3,13,1.0,3.8,0.8,3.0,1.0,1
17,15,4.0,0.9,0.9,0.0,3.0,2
6,1,4.0,1.5,0.7,0.8,2.0,1
16,18,2.0,1.0,0.5,0.5,2.0,1
9,8,1.0,2.0,0.7,1.3,2.0,1
15,16,1.0,2.0,1.3,0.7,2.0,1
10,17,3.0,0.3,0.6,-0.3,3.0,2
11,3,1.0,0.6,1.9,-1.2999999999999998,4.0,3
7,4,3.0,0.5,1.6,-1.1,4.0,3
5,6,4.0,0.9,0.7,0.20000000000000007,3.0,2
1,12,1.0,2.3,0.7,1.5999999999999999,1.0,1
13,2,1.0,1.2,0.8,0.3999999999999999,3.0,2
18,9,3.0,1.1,0.9,0.20000000000000007,3.0,2
8,14,5.0,1.2,1.8,-0.6000000000000001,4.0,3
9,15,2.0,0.9,0.5,0.4,3.0,2
14,7,1.0,2.7,0.5,2.2,1.0,1
4,10,1.0,1.8,0.4,1.4,2.0,1
17,3,5.0,0.3,1.5,-1.2,4.0,3
6,18,4.0,1.0,1.0,0.0,3.0,2
2,11,3.0,2.2,0.9,1.3000000000000003,2.0,1
1,5,3.0,2.7,1.3,1.4000000000000001,2.0,1
16,13,2.0,1.9,0.9,0.9999999999999999,2.0,1
12,8,5.0,2.1,1.5,0.6000000000000001,2.0,1
5,12,2.0,1.5,1.1,0.3999999999999999,3.0,2
7,6,3.0,0.4,1.3,-0.9,4.0,3
15,14,1.0,1.8,1.0,0.8,2.0,1
11,17,2.0,1.0,0.9,0.09999999999999998,3.0,2
10,16,1.0,0.5,1.0,-0.5,4.0,3
8,1,2.0,0.5,0.8,-0.30000000000000004,3.0,2
13,9,4.0,0.7,0.7,0.0,3.0,2
18,4,5.0,0.4,1.0,-0.6,4.0,3
3,2,1.0,2.6,1.6,1.0,2.0,1
