Round;Wk;Day;Date;Time;Home;xGHome;Score;xGAway;Away;Attendance;Venue;Referee;Match Report;Notes
Bundesliga;12;Sat;2017-11-18;15:30;Wolfsburg;2.0;3–1;0.7;Freiburg;23,744;Volkswagen Arena;Manuel Gräfe;Match Report;
Bundesliga;12;Sat;2017-11-18;15:30;Hoffenheim;1.2;1–1;0.4;Eint Frankfurt;30,150;Dietmar-Hopp-Stadion;Felix Zwayer;Match Report;
Bundesliga;12;Sat;2017-11-18;15:30;Leverkusen;1.4;2–2;2.1;RB Leipzig;29,218;BayArena;Harm Osmers;Match Report;
Bundesliga;12;Sat;2017-11-18;18:30;Hertha BSC;1.6;2–4;2.0;Gladbach;48,304;Olympiastadion Berlin;Bastian Dankert;Match Report;
Bundesliga;12;Sun;2017-11-19;15:30;Schalke 04;2.1;2–0;0.8;Hamburger SV;62,271;Veltins-Arena;Robert Hartmann;Match Report;
Bundesliga;12;Sun;2017-11-19;18:00;Werder Bremen;2.8;4–0;1.1;Hannover 96;41,500;Weserstadion;Benjamin Cortus;Match Report;
;;;;;;;;;;;;;;
Bundesliga;13;Fri;2017-11-24;20:30;Hannover 96;1.7;1–1;1.7;Stuttgart;43,500;HDI-Arena;Christian Dingert;Match Report;
Bundesliga;13;Sat;2017-11-25;15:30;Eint Frankfurt;0.8;0–1;1.2;Leverkusen;50,000;Commerzbank-Arena;Patrick Ittrich;Match Report;
Bundesliga;13;Sat;2017-11-25;15:30;Augsburg;2.4;2–1;0.2;Wolfsburg;26,541;WWK Arena;Tobias Stieler;Match Report;
Bundesliga;13;Sat;2017-11-25;15:30;RB Leipzig;1.2;2–0;0.5;Werder Bremen;40,172;Red Bull Arena;Sascha Stegemann;Match Report;
Bundesliga;13;Sat;2017-11-25;15:30;Dortmund;2.4;4–4;1.1;Schalke 04;80,179;Signal Iduna Park;Deniz Aytekin;Match Report;
Bundesliga;13;Sat;2017-11-25;15:30;Freiburg;1.8;2–1;1.0;Mainz 05;24,000;Schwarzwald-Stadion;Daniel Siebert;Match Report;
Bundesliga;13;Sat;2017-11-25;18:30;Gladbach;2.1;2–1;1.6;Bayern Munich;54,018;Stadion im Borussia-Park;Manuel Gräfe;Match Report;
Bundesliga;13;Sun;2017-11-26;15:30;Hamburger SV;1.4;3–0;0.7;Hoffenheim;46,470;Volksparkstadion;Bastian Dankert;Match Report;
