"","ar_sc","ar_xG","ar_extxG","ar_emp"
"247",-21.45,-18.91,27.08,-33.69
"248",-18.74,2.03,-6.68,-4.62000000000001
"249",-15.47,7.84,26.58,52.93
"250",-37.15,2.44,17.97,-52.99
"251",-2.5,18.76,-26.81,52.16
"252",-7.27,29.95,-6.98,-16.35
"253",-18.72,0.350000000000006,17.06,-4.23
"254",9.52,-10.02,29.23,-23.89
"255",12.9,-9.12,46.79,-21.69
"256",53.81,46.21,-6.77,79.02
"257",-22.33,7.24,16.61,57.43
"258",59.28,-11.71,32.44,-7.02
"259",-12.42,-15.36,1.51,27.09
"260",-2.4,-3.22,-5.27,22.66
"261",-26.09,14.31,19.84,-23.61
"262",-15.43,-2.07,0.349999999999999,-13.36
"263",8.00999999999998,26.72,-14.93,-23.42
"264",31.72,-14.9,4.72,23.37
"265",-23.11,-22.88,-8.03,-52.65
"266",9.43,12.55,-18.8,17.2
"267",-5.14,14.49,-7.41,-16.48
"268",-5.32,21.05,-9.31,-25.09
"269",10.09,-22.07,16.05,43.39
"270",-12.56,1.89,26.11,31.53
"271",19.48,11.53,18.27,-23.06
"272",-20.37,-0.389999999999998,-1.91,-14.54
"273",10.25,3.21,-16.1,33.04
"274",-14.38,13.64,-22.76,10.83
"275",16.14,30.91,-6.68,-1.52
"276",-1.45,-1.64,21.32,89.49
"277",-20.06,14.49,13.32,12.58
"278",-0.269999999999994,19.5,-6.12999999999999,16.52
"279",5.72,25.27,-31.26,27.64
"280",-4.28,-3.04,4.84,-35.72
"281",7.01,-20.4,-9.09,-37.81
"282",-28.02,5.98,0.43,-19.85
"283",-19.03,16.41,11.46,19.48
"284",31.59,-12.38,9.47000000000001,11.96
"285",-1.7,-15.88,-2.57,22.29
"286",21.04,4.83,-2.53999999999999,27.16
"287",25.53,27.29,22.43,8.15
"288",51.22,21.8,-10.85,-41.48
"289",7.39,-0.509999999999995,-2.04999999999999,11.07
"290",-44.12,33.74,-25.57,14.89
"291",-44.39,-16.02,27.41,-19.9
"292",16.57,-3.01,3.37000000000001,26.57
"293",-27.61,22.75,58.23,-49.53
"294",55.67,9.26,-9.89,57
"295",19.53,-7.69,3.79999999999997,10.32
"296",20.97,24.04,31.35,34.03
"297",11.8,-12.12,11.2,-12.1
"298",-15.34,22.25,23.91,-20.69
"299",53.26,-24.17,-42.75,56.97
"300",-15.06,11.36,2.83,-36.58
"301",16.25,-14.26,60.32,34.26
"302",3.4,1.96,-42.77,26.93
"303",23.74,19.93,-0.779999999999999,31.35
"304",-3.89,-4.79000000000001,-5.76999999999999,33.05
"305",-1.46,-19.98,24.71,-10.99
"306",-14.55,13.21,4.49,6.32999999999999
"307",21.88,46.05,-40.42,85.17
"308",8.01000000000002,6.06,-1.22,7.47
"309",27.72,-10.52,0.519999999999997,-16.7
"310",8.6,27.42,-13.2,-26.06
"311",18.15,-14.88,34.78,-63.35
"312",63.77,-14.16,2.92,-26.24
"313",38.94,22.69,58.44,28.39
"314",45.38,-9.58,-25.22,-19.7
"315",11.45,-6.32,0.0800000000000025,-10.77
"316",7.56,-8.99,12.22,51.04
"317",58.05,63.09,12.86,63.83
"318",-53.03,-18.87,-26.13,-15.32
"319",-35.18,-39.39,29.79,0.800000000000001
"320",19.85,28.39,5.04,29.31
"321",8.18,2.26,12.64,17.29
"322",7.3,21.45,37.64,16.41
"323",-28.89,35.96,17.41,37.35
"324",-35.94,-17.18,-14.29,25.9
"325",41.28,1.05999999999999,-2.86,-22.03
"326",-32.46,20.92,-8.68,43.74
"327",14.65,21.63,5.40000000000001,46.98
