,team_home,team_away,ordresp
238,Hoffenheim,Augsburg,3.0
239,Hertha BSC,Schalke 04,5.0
240,Mainz 05,Hamburger SV,2.0
241,Hannover 96,Eintracht Frankfurt,4.0
242,Stuttgart,Köln,2.0
243,Köln,RB Leipzig,4.0
244,Hertha BSC,Bayern München,3.0
245,Freiburg,Hoffenheim,2.0
246,Hamburger SV,Werder Bremen,3.0
247,Borussia M'gladbach,Hannover 96,2.0
248,Eintracht Frankfurt,Stuttgart,2.0
249,Augsburg,Borussia Dortmund,4.0
250,Wolfsburg,Mainz 05,3.0
251,Schalke 04,Bayer Leverkusen,3.0
252,Bayer Leverkusen,Hamburger SV,1.0
253,Hannover 96,Köln,3.0
254,Borussia Dortmund,Borussia M'gladbach,1.0
255,RB Leipzig,Eintracht Frankfurt,2.0
256,Hoffenheim,Schalke 04,1.0
257,Werder Bremen,Freiburg,3.0
258,Mainz 05,Hertha BSC,2.0
259,Stuttgart,Augsburg,3.0
260,Bayern München,Wolfsburg,3.0
261,Hertha BSC,Bayer Leverkusen,2.0
262,Freiburg,Hannover 96,3.0
263,Hamburger SV,Borussia Dortmund,5.0
264,Mainz 05,Hoffenheim,4.0
265,Köln,Eintracht Frankfurt,4.0
266,Schalke 04,Bayern München,5.0
267,Augsburg,RB Leipzig,2.0
268,Wolfsburg,Werder Bremen,3.0
269,Borussia M'gladbach,Stuttgart,1.0
270,Borussia Dortmund,Köln,1.0
271,Bayer Leverkusen,Freiburg,1.0
272,Hoffenheim,Hertha BSC,3.0
273,RB Leipzig,Borussia M'gladbach,3.0
274,Bayern München,Mainz 05,1.0
275,Werder Bremen,Schalke 04,4.0
276,Eintracht Frankfurt,Augsburg,4.0
277,Stuttgart,Wolfsburg,2.0
278,Hannover 96,Hamburger SV,1.0
279,Schalke 04,Stuttgart,1.0
280,Hertha BSC,Werder Bremen,3.0
281,Hoffenheim,Bayern München,1.0
282,Freiburg,Borussia Dortmund,3.0
283,Borussia M'gladbach,Eintracht Frankfurt,4.0
284,Augsburg,Köln,1.0
285,Mainz 05,Bayer Leverkusen,1.0
286,Wolfsburg,Hannover 96,3.0
287,Hamburger SV,RB Leipzig,5.0
288,Hannover 96,Schalke 04,2.0
289,RB Leipzig,Freiburg,1.0
290,Borussia Dortmund,Hertha BSC,1.0
291,Werder Bremen,Bayern München,5.0
292,Eintracht Frankfurt,Wolfsburg,4.0
293,Bayer Leverkusen,Hoffenheim,3.0
294,Augsburg,Borussia M'gladbach,3.0
295,Stuttgart,Mainz 05,2.0
296,Köln,Hamburger SV,5.0
297,Borussia M'gladbach,Köln,2.0
298,Freiburg,Eintracht Frankfurt,3.0
299,Schalke 04,RB Leipzig,1.0
300,Hoffenheim,Werder Bremen,2.0
301,Hertha BSC,Stuttgart,1.0
302,Hamburger SV,Augsburg,2.0
303,Mainz 05,Hannover 96,4.0
304,Wolfsburg,Borussia Dortmund,5.0
305,Bayern München,Bayer Leverkusen,1.0
