,Goal,X,Y,C,matchId,teamId,eventSec,Distance,Angle
4950,0,10,41,9.0,2576133.0,3162.0,1777.3179650000002,11.585443452885176,0.5446918460172443
4951,0,3,45,5.0,2576133.0,3197.0,1860.845256,4.422951503238533,1.297023482986829
4952,0,4,61,11.0,2576133.0,3197.0,2439.068843,8.192832233116945,0.49897968263877834
4953,0,12,52,2.0,2576133.0,3162.0,985.7160549999999,12.070211265756702,0.5861359122223557
4954,0,9,36,14.0,2576133.0,3197.0,1139.910476,12.798828071350908,0.41282162922586324
4955,1,8,60,10.0,2576133.0,3162.0,1958.5791280000003,10.307764064044152,0.562662499795669
4956,0,10,57,7.0,2576133.0,3162.0,2200.8423970000003,10.986468950486321,0.5986491788623917
4957,0,10,62,12.0,2576134.0,3157.0,928.7577879999999,12.682271089990152,0.4608102578036777
4958,0,5,45,5.0,2576134.0,3172.0,1897.079601,5.963430220938282,1.0262305693322138
4959,0,9,65,15.0,2576134.0,3157.0,141.91709200000014,13.268854509715599,0.3848087774655948
4960,0,11,56,6.0,2576134.0,3157.0,339.42464400000017,11.670903992407787,0.5803182805818168
4961,0,10,45,5.0,2576136.0,3161.0,439.37978499999997,10.514870422406545,0.6456371719731505
4962,0,9,45,5.0,2576136.0,3161.0,1060.717629,9.56882960450232,0.7003062199153791
4963,0,9,36,14.0,2576136.0,3161.0,1478.672957,12.798828071350908,0.41282162922586324
4964,0,3,46,4.0,2576136.0,3161.0,1530.4148130000003,3.9698866482558417,1.4635410176551378
4965,0,7,36,14.0,2576136.0,3161.0,1670.9177650000001,11.480853626799707,0.40838935725636827
4966,0,10,52,2.0,2576137.0,3204.0,333.94413,10.084145972763386,0.6922019060806314
4967,0,10,61,11.0,2576137.0,3185.0,1073.04401,12.293189171244377,0.4885184454953091
4968,0,6,53,3.0,2576137.0,3185.0,568.490072,6.308922253443927,1.029458215722624
4969,0,12,44,6.0,2576137.0,3185.0,2899.3211709999996,12.617844506887854,0.5421894099268787
4970,0,22,60,10.0,2576137.0,3185.0,2902.2169750000003,22.940139493908923,0.30425743192146093
4971,0,6,50,0.0,2576138.0,3163.0,1138.513785,6.0,1.0954800274318048
4972,0,4,62,12.0,2576138.0,3163.0,509.4497620000002,8.765842800324451,0.432381387635108
4973,0,6,61,11.0,2576138.0,3163.0,1952.3601339999996,9.333943432440545,0.537260603155896
4974,0,7,52,2.0,2576138.0,3163.0,2568.474438,7.119691004531025,0.9416306647895308
4975,1,8,57,7.0,2576139.0,3173.0,331.924095,9.2033961123055,0.6875579905881853
4976,0,3,61,11.0,2576139.0,3172.0,625.361509,7.753870001489579,0.4393320870265715
4977,0,7,51,1.0,2576139.0,3172.0,1785.574822,7.030113797087498,0.9579921227670137
4978,0,6,59,9.0,2576139.0,3172.0,106.35610700000007,8.379886634078053,0.6579801001190847
4979,0,6,63,13.0,2576140.0,3219.0,1079.725661,10.363517742542827,0.4370648197342391
4980,0,8,52,2.0,2576140.0,3219.0,1241.520532,8.104936767180853,0.8418590768612652
4981,0,9,52,2.0,2576140.0,3219.0,1967.885659,9.093404203047394,0.7601443126929903
4982,0,5,65,15.0,2576140.0,3219.0,1091.0921669999998,10.957303500405564,0.3305363458569078
4983,0,5,60,10.0,2576140.0,3219.0,2278.2955169999996,8.200609733428363,0.5969100672914993
4984,0,5,54,4.0,2576141.0,3166.0,899.9166359999999,5.635601121442148,1.105742058491477
4985,1,9,58,8.0,2576141.0,3163.0,2200.222724,10.394229168149026,0.6080897176866127
4986,0,10,54,4.0,2576141.0,3166.0,2751.9661859999997,10.332473082471592,0.6649237431204476
4987,0,12,56,6.0,2576142.0,3187.0,765.8039369999999,12.617844506887854,0.5421894099268787
4988,0,10,63,13.0,2576142.0,3187.0,1178.120019,13.092077757178192,0.43383504556792013
4989,0,7,46,4.0,2576143.0,3176.0,1088.51323,7.467261881037787,0.8799358423622258
4990,0,1,59,9.0,2576143.0,3176.0,2727.38874,5.934854673873658,0.3235788314832647
4991,0,12,47,3.0,2576143.0,3176.0,552.5698649999999,12.157405150771279,0.5788582849349603
4992,0,11,51,1.0,2576143.0,3176.0,881.8901150000002,11.019187810360616,0.6405312552365475
4993,1,8,42,8.0,2576143.0,3176.0,1521.7367050000003,9.54148835350125,0.6461885667454231
4994,0,12,58,8.0,2576144.0,3159.0,118.619191,13.078226179417452,0.5083568463026283
4995,0,11,29,21.0,2576144.0,3159.0,1292.9005589999997,17.530616075882786,0.2673857398117089
4996,0,12,34,16.0,2576144.0,3159.0,1495.185993,15.879546593023367,0.35252628133982705
4997,0,4,48,2.0,2576145.0,3162.0,1212.097179,4.205948168962618,1.425167946224074
4998,0,6,45,5.0,2576145.0,3161.0,2268.906653,6.823672031978091,0.9239970335394253
4999,0,8,45,5.0,2576145.0,3161.0,2608.064577,8.634958019585271,0.7636278833309134
5000,0,13,45,5.0,2576145.0,3161.0,2906.027016,13.400093283257396,0.5200869043507739
5001,0,4,62,12.0,2576146.0,3315.0,109.619574,8.765842800324451,0.432381387635108
5002,0,12,29,21.0,2576146.0,3158.0,620.486748,18.174776477305024,0.27037481813497166
5003,0,8,43,7.0,2576146.0,3315.0,2240.241961,9.2033961123055,0.6875579905881853
5004,0,13,34,16.0,2576146.0,3315.0,2420.273971,16.648123017325407,0.346242831750264
5005,0,9,58,8.0,2576146.0,3315.0,1875.8948899999996,10.394229168149026,0.6080897176866127
5006,1,7,51,1.0,2576146.0,3315.0,1931.707469,7.030113797087498,0.9579921227670137
5007,0,4,34,16.0,2576147.0,3204.0,2073.981936,11.142710621747296,0.25843348119083215
5008,0,11,46,4.0,2576147.0,3204.0,2083.982611,11.303096920755834,0.6134491132665396
5009,0,9,45,5.0,2576147.0,3164.0,559.1250949999999,9.56882960450232,0.7003062199153791
5010,0,12,46,4.0,2576147.0,3164.0,2268.3151150000003,12.278436382536661,0.5689349741357124
5011,0,5,42,8.0,2576148.0,3185.0,1071.041053,7.213875518748574,0.758234717968973
5012,0,8,58,8.0,2576148.0,3185.0,1156.768219,9.54148835350125,0.6461885667454231
5013,0,8,49,1.0,2576148.0,3185.0,2016.324986,8.026362812631884,0.8540310759075667
5014,0,7,61,11.0,2576149.0,3158.0,1915.3622460000001,10.006123125366788,0.5336422659868659
5015,0,9,41,9.0,2576149.0,3172.0,214.85061600000017,10.734174397688907,0.5742494903792517
5016,0,8,47,3.0,2576149.0,3158.0,537.2589419999999,8.234227346873537,0.8221454799212867
5017,0,8,49,1.0,2576149.0,3158.0,1510.456188,8.026362812631884,0.8540310759075667
5018,0,9,44,6.0,2576149.0,3158.0,2362.564692,9.808669634563088,0.6719994763468652
5019,0,4,59,9.0,2576149.0,3158.0,2394.173135,7.086783473480758,0.67172821625913
5020,1,15,59,9.0,2576150.0,3185.0,2278.491678,16.100388194077805,0.4200693728633339
5021,0,9,63,13.0,2576151.0,3157.0,689.2447950000001,12.345140744438678,0.4425776520415871
5022,0,9,38,12.0,2576151.0,3157.0,1288.558266,11.909659944767524,0.4739196160379323
5023,0,10,41,9.0,2576151.0,3157.0,2361.081132,11.585443452885176,0.5446918460172443
5024,0,10,70,20.0,2576151.0,3157.0,2479.775799,16.401219466856727,0.2789150655431871
5025,1,7,44,6.0,2576151.0,3157.0,492.7542349999999,8.01311425102625,0.789568464067837
5026,0,8,53,3.0,2576151.0,3197.0,1468.6416090000002,8.234227346873537,0.8221454799212867
5027,0,8,41,9.0,2576151.0,3197.0,3091.5529829999996,9.91072651221897,0.6042180515079368
5028,0,12,46,4.0,2576152.0,3187.0,572.60446,12.278436382536661,0.5689349741357124
5029,0,14,33,17.0,2576152.0,3187.0,776.6211269999999,17.835428225865506,0.32443901744334236
5030,1,4,51,1.0,2576152.0,3187.0,1196.9003670000002,4.052468383590426,1.4677845154652105
5031,0,14,45,5.0,2576153.0,3176.0,489.86983599999996,14.37228235180481,0.4877688852305187
5032,0,10,48,2.0,2576153.0,3161.0,1858.722053,10.084145972763386,0.6922019060806314
5033,0,11,53,3.0,2576153.0,3176.0,2276.263603,11.171503927403865,0.6258357186235695
5034,0,12,52,2.0,2576153.0,3161.0,576.1342569999997,12.070211265756702,0.5861359122223557
5035,0,7,52,2.0,2576153.0,3176.0,1611.5414540000002,7.119691004531025,0.9416306647895308
5036,0,6,54,4.0,2576153.0,3161.0,1913.5890579999996,6.539113089708726,0.9814645120239824
5037,0,10,50,0.0,2576153.0,3161.0,2942.5877309999996,10.0,0.701714016520786
5038,0,10,44,6.0,2576154.0,3173.0,1092.410063,10.733592129385205,0.6233346690483809
5039,0,9,46,4.0,2576154.0,3173.0,1543.537832,9.368030742904295,0.7249745604747284
5040,0,9,59,9.0,2576154.0,3173.0,29.95031199999994,10.734174397688907,0.5742494903792517
5041,0,10,38,12.0,2576154.0,3159.0,1055.4593560000003,12.682271089990152,0.4608102578036777
5042,0,14,48,2.0,2576154.0,3159.0,1616.3933020000004,14.060227594174997,0.5074890988572793
5043,0,12,61,11.0,2576155.0,3162.0,902.612635,13.968625558729821,0.4502493789250738
5044,1,10,62,12.0,2576155.0,3162.0,2404.031909,12.682271089990152,0.4608102578036777
5045,0,4,35,15.0,2576155.0,3204.0,1636.536416,10.538619454178995,0.2912682568538339
5046,0,10,50,0.0,2576155.0,3204.0,2229.290747,10.0,0.701714016520786
5047,0,6,54,4.0,2576156.0,3164.0,555.551681,6.539113089708726,0.9814645120239824
5048,0,9,52,2.0,2576156.0,3219.0,892.031788,9.093404203047394,0.7601443126929903
5049,0,4,39,11.0,2576156.0,3219.0,1591.118759,8.192832233116945,0.49897968263877834
5050,0,10,62,12.0,2576157.0,3193.0,2790.878322,12.682271089990152,0.4608102578036777
5051,0,3,50,0.0,2576157.0,3315.0,151.86695099999997,3.0,1.768349510930222
5052,0,3,35,15.0,2576157.0,3315.0,225.38695700000017,10.201102881551583,0.23762908888852988
5053,0,2,36,14.0,2576157.0,3315.0,1721.3430209999997,9.317188417113822,0.19683387989888795
